Marca temporal;¿Cúal es tu rango de edad;Género;¿Actualmente eres?;¿Alguna has comprado una pieza tejida a mano?;¿Que pieza compraste?;La pieza era para ti o era un regalo;¿Por qué elegiste esa pieza?;¿Cuanto pagaste por la pieza?;¿Por qué nunca has comprado una pieza tejida  a mano?;¿Que es lo que más valoras cuando compras una pieza tejida?;Si tuvieras que elegir entre uno de los siguientes productos ¿Cuál sería?;¿Cuanto estarías dispuesto a pagar por la pieza elegida anteriormente?;¿Te gustaría ser parte de algun taller de tejido para crear tu primera pieza con nosotros?;Elige máximo 2 piezas
21-09-2022 1:58;22 años - 26 años;Varón;Trabajador;Sí;Bufanda;Para mi;El modelo, La calidad de los materiales;;;Materiales, Acabados;Un saco;91 a 150 soles;No;
21-09-2022 2:11;22 años - 26 años;Mujer;Estudiante;Sí;Bufanda;Para mi;El modelo, Por que me gustó;20 soles;;Precio, Diseño;Bufanda;40 a 59 soles;No;
21-09-2022 3:35;27 años a 35 años;Varón;Trabajador;No;;;;;No me interesa;Diseño, Acabados;Manta;60 a 90 soles;Sí;Manta, Unos guantes
21-09-2022 4:17;27 años a 35 años;Varón;Trabajador;Sí;Amigurumi(un peluche hecho de hilo a mano);Para mi;El modelo;50 soles;;Diseño, Acabados;Bufanda, Amigurumi(un peluche hecho de hilo a mano);60 a 90 soles;No;
21-09-2022 8:08;27 años a 35 años;Mujer;Trabajador;No;;;;;No se me ha presentado la ocasión;Acabados;Bufanda;40 a 59 soles;Sí;Cartera, Bufanda
21-09-2022 9:03;27 años a 35 años;Varón;Trabajador;No;;;;;No se me ha presentado la ocasión;Diseño, Acabados;Amigurumi(un peluche hecho de hilo a mano);60 a 90 soles;No;
21-09-2022 9:33;27 años a 35 años;Otro;Trabajador;No;;;;;No tengo confianza en la calidad del producto;Precio, Que sea hipoalergenico;Bufanda, Amigurumi(un peluche hecho de hilo a mano);60 a 90 soles;No;
21-09-2022 10:10;27 años a 35 años;Mujer;Trabajador;No;;;;;No se me ha presentado la ocasión;Precio, Diseño;Bufanda, Un saco;60 a 90 soles;No;
21-09-2022 11:04;22 años - 26 años;Mujer;Estudiante, Trabajador;Sí;chompa;Para mi;El precio, La calidad de los materiales;100;;Materiales, Que sea hipoalergenico;Bufanda, Manta;60 a 90 soles;Sí;Bufanda, Manta
21-09-2022 11:09;22 años - 26 años;Varón;Trabajador;Sí;Manta;Para mi;El modelo, La calidad de los materiales;65;;Materiales, Que sea hipoalergenico;Bufanda, Manta;60 a 90 soles;Sí;Bufanda, Unos guantes
21-09-2022 11:17;17 años - 21 años;Mujer;Estudiante;Sí;Un gorro;Para mi;El modelo;S/. 15 ;;Diseño, Acabados;Amigurumi(un peluche hecho de hilo a mano);40 a 59 soles;Sí;Manta, Un gorro
21-09-2022 11:17;27 años a 35 años;Mujer;Trabajador;Sí;Un saco;Para mi;La calidad de los materiales;150;;Materiales, Acabados;Un saco;91 a 150 soles;Sí;Cartera, Saco
21-09-2022 11:18;22 años - 26 años;Varón;Estudiante, Trabajador;Sí;Amigurumi(un peluche hecho de hilo a mano);Era un regalo;El modelo;10 soles;;Diseño;Manta, Unos guantes;40 a 59 soles;No;
21-09-2022 11:18;27 años a 35 años;Mujer;Trabajador;Sí;Un saco;Para mi;La calidad de los materiales;70;;Materiales, Acabados;Un gorro;40 a 59 soles;No;
21-09-2022 11:18;46 años a 55 años;Mujer;Prefiero no decirlo;Sí;Manta;Para mi;El modelo;70 soles;;Materiales;Cartera;60 a 90 soles;Sí;Cartera, Manta
21-09-2022 11:20;22 años - 26 años;Mujer;Trabajador;Sí;Una chompa ;Para mi;El modelo;S/ 70.00;;Precio, Diseño;Un chompa ;60 a 90 soles;Sí;Manta, Una chompa 
21-09-2022 11:23;46 años a 55 años;Varón;Prefiero no decirlo;Sí;Chompa;Para mi;El modelo;100 soled;;Acabados;Un saco;91 a 150 soles;No;
21-09-2022 11:29;22 años - 26 años;Mujer;Trabajador;No;;;;;No se me ha presentado la ocasión;Que sea hipoalergenico, Diseño;Bufanda, Un saco;60 a 90 soles;Sí;Bufanda, Manta
